accuracy,precision_macro,recall_macro,f1_macro,confusion_matrix,classification_report,target_agreement,seed_size,alpha,depth,source_file,composite_score,rank
0.9302188054405676,0.870528874899877,0.916063810395611,0.8911657372947384,"[[1056, 44, 5, 14, 0], [22, 1334, 19, 76, 6], [0, 6, 353, 0, 4], [0, 33, 1, 378, 1], [0, 4, 0, 1, 25]]","{'0': {'precision': 0.9795918367346939, 'recall': 0.9436997319034852, 'f1-score': 0.9613108784706418, 'support': 1119.0}, '1': {'precision': 0.9387755102040817, 'recall': 0.9155799588194921, 'f1-score': 0.9270326615705351, 'support': 1457.0}, '2': {'precision': 0.9338624338624338, 'recall': 0.9724517906336089, 'f1-score': 0.9527665317139001, 'support': 363.0}, '3': {'precision': 0.8059701492537313, 'recall': 0.9152542372881356, 'f1-score': 0.8571428571428571, 'support': 413.0}, '4': {'precision': 0.6944444444444444, 'recall': 0.8333333333333334, 'f1-score': 0.7575757575757576, 'support': 30.0}, 'accuracy': 0.9302188054405677, 'macro avg': {'precision': 0.870528874899877, 'recall': 0.916063810395611, 'f1-score': 0.8911657372947384, 'support': 3382.0}, 'weighted avg': {'precision': 0.933367904240289, 'recall': 0.9302188054405677, 'f1-score': 0.9310984579113945, 'support': 3382.0}}",0.9550561797752808,2000,0.2,5,surrogate_eval_nsl_kdd_tabnet_seed2000_a0.2_d5.json,0.9309215721641754,1
0.9287403903015968,0.868740097556398,0.908495733304593,0.8869875695083828,"[[1071, 34, 2, 12, 0], [24, 1318, 24, 87, 4], [0, 5, 354, 0, 4], [1, 36, 0, 374, 2], [0, 3, 1, 2, 24]]","{'0': {'precision': 0.9771897810218978, 'recall': 0.9571045576407506, 'f1-score': 0.9670428893905192, 'support': 1119.0}, '1': {'precision': 0.9441260744985673, 'recall': 0.9045984900480439, 'f1-score': 0.9239397125832457, 'support': 1457.0}, '2': {'precision': 0.9291338582677166, 'recall': 0.9752066115702479, 'f1-score': 0.9516129032258065, 'support': 363.0}, '3': {'precision': 0.7873684210526316, 'recall': 0.9055690072639225, 'f1-score': 0.8423423423423423, 'support': 413.0}, '4': {'precision': 0.7058823529411765, 'recall': 0.8, 'f1-score': 0.75, 'support': 30.0}, 'accuracy': 0.9287403903015967, 'macro avg': {'precision': 0.868740097556398, 'recall': 0.908495733304593, 'f1-score': 0.8869875695083828, 'support': 3382.0}, 'weighted avg': {'precision': 0.9322005542702747, 'recall': 0.9287403903015967, 'f1-score': 0.9296641116854333, 'support': 3382.0}}",0.9547604967474866,2000,0.1,7,surrogate_eval_nsl_kdd_tabnet_seed2000_a0.1_d7.json,0.9292245972865775,2
0.9290360733293908,0.8716893232175267,0.9107469634680512,0.8895688102838418,"[[1063, 43, 2, 11, 0], [26, 1337, 20, 70, 4], [0, 7, 350, 1, 5], [1, 43, 0, 367, 2], [0, 4, 0, 1, 25]]","{'0': {'precision': 0.9752293577981651, 'recall': 0.9499553172475425, 'f1-score': 0.9624264373019465, 'support': 1119.0}, '1': {'precision': 0.9323570432357043, 'recall': 0.9176389842141386, 'f1-score': 0.9249394673123487, 'support': 1457.0}, '2': {'precision': 0.9408602150537635, 'recall': 0.9641873278236914, 'f1-score': 0.9523809523809523, 'support': 363.0}, '3': {'precision': 0.8155555555555556, 'recall': 0.8886198547215496, 'f1-score': 0.8505214368482039, 'support': 413.0}, '4': {'precision': 0.6944444444444444, 'recall': 0.8333333333333334, 'f1-score': 0.7575757575757576, 'support': 30.0}, 'accuracy': 0.9290360733293909, 'macro avg': {'precision': 0.8716893232175267, 'recall': 0.9107469634680511, 'f1-score': 0.8895688102838418, 'support': 3382.0}, 'weighted avg': {'precision': 0.9310809873485695, 'recall': 0.9290360733293909, 'f1-score': 0.9297158187684319, 'support': 3382.0}}",0.952395032525133,2000,0.5,7,surrogate_eval_nsl_kdd_tabnet_seed2000_a0.5_d7.json,0.9288753740135972,3
0.92755765819042,0.8634686947491124,0.910389973122878,0.8846619838210126,"[[1053, 44, 7, 15, 0], [21, 1323, 23, 85, 5], [0, 4, 355, 0, 4], [0, 28, 1, 382, 2], [0, 4, 1, 1, 24]]","{'0': {'precision': 0.9804469273743017, 'recall': 0.9410187667560321, 'f1-score': 0.960328317373461, 'support': 1119.0}, '1': {'precision': 0.9429793300071276, 'recall': 0.9080301990391215, 'f1-score': 0.9251748251748252, 'support': 1457.0}, '2': {'precision': 0.917312661498708, 'recall': 0.977961432506887, 'f1-score': 0.9466666666666667, 'support': 363.0}, '3': {'precision': 0.7908902691511387, 'recall': 0.9249394673123487, 'f1-score': 0.8526785714285714, 'support': 413.0}, '4': {'precision': 0.6857142857142857, 'recall': 0.8, 'f1-score': 0.7384615384615385, 'support': 30.0}, 'accuracy': 0.9275576581904199, 'macro avg': {'precision': 0.8634686947491124, 'recall': 0.910389973122878, 'f1-score': 0.8846619838210126, 'support': 3382.0}, 'weighted avg': {'precision': 0.9317665882339172, 'recall': 0.9275576581904199, 'f1-score': 0.9286035492532435, 'support': 3382.0}}",0.9529863985807214,2000,0.2,7,surrogate_eval_nsl_kdd_tabnet_seed2000_a0.2_d7.json,0.9274033260747485,4
0.9228267297457126,0.8626313565174193,0.9122445762869652,0.884780928225845,"[[1065, 41, 1, 12, 0], [31, 1302, 22, 98, 4], [0, 5, 352, 1, 5], [1, 32, 1, 377, 2], [0, 4, 0, 1, 25]]","{'0': {'precision': 0.9708295350957156, 'recall': 0.9517426273458445, 'f1-score': 0.9611913357400722, 'support': 1119.0}, '1': {'precision': 0.9407514450867052, 'recall': 0.8936170212765957, 'f1-score': 0.9165786694825766, 'support': 1457.0}, '2': {'precision': 0.9361702127659575, 'recall': 0.9696969696969697, 'f1-score': 0.952638700947226, 'support': 363.0}, '3': {'precision': 0.7709611451942741, 'recall': 0.9128329297820823, 'f1-score': 0.835920177383592, 'support': 413.0}, '4': {'precision': 0.6944444444444444, 'recall': 0.8333333333333334, 'f1-score': 0.7575757575757576, 'support': 30.0}, 'accuracy': 0.9228267297457126, 'macro avg': {'precision': 0.8626313565174193, 'recall': 0.9122445762869651, 'f1-score': 0.884780928225845, 'support': 3382.0}, 'weighted avg': {'precision': 0.9272924833814449, 'recall': 0.9228267297457126, 'f1-score': 0.923949846410347, 'support': 3382.0}}",0.9488468361916026,2000,0.5,5,surrogate_eval_nsl_kdd_tabnet_seed2000_a0.5_d5.json,0.9244230425126974,5
0.9231224127735068,0.8557762393099754,0.907249436327528,0.8786632581039425,"[[1062, 37, 7, 13, 0], [29, 1303, 20, 100, 5], [0, 4, 354, 0, 5], [0, 32, 0, 379, 2], [0, 3, 1, 2, 24]]","{'0': {'precision': 0.9734188817598534, 'recall': 0.9490616621983914, 'f1-score': 0.9610859728506788, 'support': 1119.0}, '1': {'precision': 0.9448875997099347, 'recall': 0.8943033630748113, 'f1-score': 0.9188998589562765, 'support': 1457.0}, '2': {'precision': 0.9267015706806283, 'recall': 0.9752066115702479, 'f1-score': 0.9503355704697987, 'support': 363.0}, '3': {'precision': 0.7672064777327935, 'recall': 0.9176755447941889, 'f1-score': 0.8357221609702316, 'support': 413.0}, '4': {'precision': 0.6666666666666666, 'recall': 0.8, 'f1-score': 0.7272727272727273, 'support': 30.0}, 'accuracy': 0.9231224127735068, 'macro avg': {'precision': 0.8557762393099754, 'recall': 0.9072494363275279, 'f1-score': 0.8786632581039425, 'support': 3382.0}, 'weighted avg': {'precision': 0.9282099074297345, 'recall': 0.9231224127735068, 'f1-score': 0.9243747913952184, 'support': 3382.0}}",0.94795978710822,2000,0.2,3,surrogate_eval_nsl_kdd_tabnet_seed2000_a0.2_d3.json,0.9222033535399943,6
0.9204612655233588,0.851481356558395,0.906160906173956,0.8751848455536555,"[[1062, 44, 1, 12, 0], [23, 1293, 22, 113, 6], [0, 7, 351, 0, 5], [0, 28, 0, 383, 2], [0, 5, 0, 1, 24]]","{'0': {'precision': 0.9788018433179724, 'recall': 0.9490616621983914, 'f1-score': 0.9637023593466425, 'support': 1119.0}, '1': {'precision': 0.9389978213507625, 'recall': 0.8874399450926561, 'f1-score': 0.9124911785462244, 'support': 1457.0}, '2': {'precision': 0.9385026737967914, 'recall': 0.9669421487603306, 'f1-score': 0.9525101763907734, 'support': 363.0}, '3': {'precision': 0.7524557956777996, 'recall': 0.927360774818402, 'f1-score': 0.8308026030368764, 'support': 413.0}, '4': {'precision': 0.6486486486486487, 'recall': 0.8, 'f1-score': 0.7164179104477612, 'support': 30.0}, 'accuracy': 0.9204612655233589, 'macro avg': {'precision': 0.851481356558395, 'recall': 0.906160906173956, 'f1-score': 0.8751848455536555, 'support': 3382.0}, 'weighted avg': {'precision': 0.9267590958141626, 'recall': 0.9204612655233589, 'f1-score': 0.9220159058687922, 'support': 3382.0}}",0.9461856889414548,2000,0.1,5,surrogate_eval_nsl_kdd_tabnet_seed2000_a0.1_d5.json,0.9197405512414958,7
0.919278533412182,0.8588697247816691,0.8982640601946636,0.8759250872670694,"[[1059, 44, 1, 15, 0], [21, 1295, 21, 117, 3], [0, 6, 351, 1, 5], [1, 29, 0, 381, 2], [0, 4, 0, 3, 23]]","{'0': {'precision': 0.9796484736355227, 'recall': 0.9463806970509383, 'f1-score': 0.9627272727272728, 'support': 1119.0}, '1': {'precision': 0.9397677793904209, 'recall': 0.8888126286890872, 'f1-score': 0.9135802469135802, 'support': 1457.0}, '2': {'precision': 0.9410187667560321, 'recall': 0.9669421487603306, 'f1-score': 0.9538043478260869, 'support': 363.0}, '3': {'precision': 0.7369439071566731, 'recall': 0.9225181598062954, 'f1-score': 0.8193548387096774, 'support': 413.0}, '4': {'precision': 0.696969696969697, 'recall': 0.7666666666666667, 'f1-score': 0.7301587301587301, 'support': 30.0}, 'accuracy': 0.9192785334121821, 'macro avg': {'precision': 0.8588697247816691, 'recall': 0.8982640601946636, 'f1-score': 0.8759250872670694, 'support': 3382.0}, 'weighted avg': {'precision': 0.9261753499311738, 'recall': 0.9192785334121821, 'f1-score': 0.9210252887308199, 'support': 3382.0}}",0.9438202247191012,2000,0.5,3,surrogate_eval_nsl_kdd_tabnet_seed2000_a0.5_d3.json,0.9185433452221079,8
0.9201655824955648,0.8535914410851827,0.902916922154462,0.8753550987539971,"[[1064, 33, 2, 20, 0], [30, 1299, 22, 102, 4], [2, 4, 350, 1, 6], [1, 35, 0, 375, 2], [0, 5, 0, 1, 24]]","{'0': {'precision': 0.9699179580674567, 'recall': 0.9508489722966935, 'f1-score': 0.9602888086642599, 'support': 1119.0}, '1': {'precision': 0.9440406976744186, 'recall': 0.8915579958819492, 'f1-score': 0.9170490645958348, 'support': 1457.0}, '2': {'precision': 0.9358288770053476, 'recall': 0.9641873278236914, 'f1-score': 0.9497964721845319, 'support': 363.0}, '3': {'precision': 0.751503006012024, 'recall': 0.9079903147699758, 'f1-score': 0.8223684210526315, 'support': 413.0}, '4': {'precision': 0.6666666666666666, 'recall': 0.8, 'f1-score': 0.7272727272727273, 'support': 30.0}, 'accuracy': 0.9201655824955648, 'macro avg': {'precision': 0.8535914410851827, 'recall': 0.9029169221544621, 'f1-score': 0.8753550987539971, 'support': 3382.0}, 'weighted avg': {'precision': 0.9257487035555939, 'recall': 0.9201655824955648, 'f1-score': 0.9216251103274222, 'support': 3382.0}}",0.9402720283855708,1000,0.1,3,surrogate_eval_nsl_kdd_tabnet_seed1000_a0.1_d3.json,0.9167756603180974,9
0.9198698994677704,0.8417496441049798,0.9003822163581738,0.8670373305024471,"[[1058, 44, 4, 13, 0], [21, 1310, 23, 97, 6], [0, 6, 349, 0, 8], [0, 41, 0, 370, 2], [0, 4, 0, 2, 24]]","{'0': {'precision': 0.9805375347544022, 'recall': 0.9454870420017873, 'f1-score': 0.9626933575978162, 'support': 1119.0}, '1': {'precision': 0.9323843416370107, 'recall': 0.8991077556623198, 'f1-score': 0.9154437456324249, 'support': 1457.0}, '2': {'precision': 0.9281914893617021, 'recall': 0.9614325068870524, 'f1-score': 0.9445196211096076, 'support': 363.0}, '3': {'precision': 0.7676348547717843, 'recall': 0.8958837772397095, 'f1-score': 0.8268156424581006, 'support': 413.0}, '4': {'precision': 0.6, 'recall': 0.8, 'f1-score': 0.6857142857142857, 'support': 30.0}, 'accuracy': 0.9198698994677705, 'macro avg': {'precision': 0.8417496441049798, 'recall': 0.9003822163581738, 'f1-score': 0.8670373305024471, 'support': 3382.0}, 'weighted avg': {'precision': 0.9247995839190849, 'recall': 0.9198698994677705, 'f1-score': 0.9213371720602634, 'support': 3382.0}}",0.945002956830278,2000,0.1,3,surrogate_eval_nsl_kdd_tabnet_seed2000_a0.1_d3.json,0.9165866574594272,10
