sample_id,attack_name,target_model,label_true,pred_clean_target,pred_adv_target,is_transfer_success
0,fgm,gbdt,0,0,0,False
1,fgm,gbdt,0,0,1,True
2,fgm,gbdt,1,1,0,True
3,fgm,gbdt,3,3,3,False
4,fgm,gbdt,3,3,1,True
5,fgm,gbdt,3,3,4,True
6,fgm,gbdt,1,1,3,True
7,fgm,gbdt,3,3,1,True
8,fgm,gbdt,0,0,1,True
9,fgm,gbdt,1,1,1,False
10,fgm,gbdt,2,2,3,True
11,fgm,gbdt,3,3,4,True
12,fgm,gbdt,1,1,1,False
13,fgm,gbdt,0,0,0,False
14,fgm,gbdt,0,0,0,False
15,fgm,gbdt,1,1,1,False
16,fgm,gbdt,0,0,1,True
17,fgm,gbdt,1,1,1,False
18,fgm,gbdt,1,1,1,False
19,fgm,gbdt,2,2,0,True
20,fgm,gbdt,1,1,0,True
21,fgm,gbdt,1,1,1,False
22,fgm,gbdt,0,0,0,False
23,fgm,gbdt,1,1,1,False
24,fgm,gbdt,3,3,1,True
25,fgm,gbdt,0,0,0,False
26,fgm,gbdt,3,3,3,False
27,fgm,gbdt,1,1,1,False
28,fgm,gbdt,0,0,0,False
29,fgm,gbdt,0,0,0,False
30,fgm,gbdt,2,2,2,False
31,fgm,gbdt,3,3,1,True
32,fgm,gbdt,1,1,0,True
33,fgm,gbdt,0,0,3,True
34,fgm,gbdt,1,1,0,True
35,fgm,gbdt,1,1,1,False
36,fgm,gbdt,1,1,4,True
37,fgm,gbdt,1,1,1,False
38,fgm,gbdt,1,1,1,False
39,fgm,gbdt,0,0,0,False
40,fgm,gbdt,1,1,1,False
41,fgm,gbdt,1,1,1,False
42,fgm,gbdt,0,0,1,True
43,fgm,gbdt,0,0,0,False
44,fgm,gbdt,0,0,1,True
45,fgm,gbdt,1,1,1,False
46,fgm,gbdt,1,1,0,True
47,fgm,gbdt,0,0,3,True
48,fgm,gbdt,2,2,1,True
49,fgm,gbdt,1,1,3,True
50,fgm,gbdt,0,0,3,True
51,fgm,gbdt,3,3,3,False
52,fgm,gbdt,1,1,1,False
53,fgm,gbdt,0,0,0,False
54,fgm,gbdt,3,3,1,True
55,fgm,gbdt,1,1,4,True
56,fgm,gbdt,1,1,1,False
57,fgm,gbdt,0,0,0,False
58,fgm,gbdt,3,3,1,True
59,fgm,gbdt,0,0,0,False
60,fgm,gbdt,1,1,1,False
61,fgm,gbdt,1,1,1,False
62,fgm,gbdt,0,0,0,False
63,fgm,gbdt,3,1,3,False
64,fgm,gbdt,0,0,0,False
65,fgm,gbdt,0,0,0,False
66,fgm,gbdt,3,3,4,True
67,fgm,gbdt,1,1,3,True
68,fgm,gbdt,1,1,0,True
69,fgm,gbdt,1,1,4,True
70,fgm,gbdt,3,3,4,True
71,fgm,gbdt,1,1,4,True
72,fgm,gbdt,0,0,0,False
73,fgm,gbdt,0,0,1,True
74,fgm,gbdt,0,0,0,False
