sample_id,attack_name,target_model,label_true,pred_clean_target,pred_adv_target,is_transfer_success
0,fgm,tabnet,0,0,0,False
1,fgm,tabnet,0,0,0,False
2,fgm,tabnet,1,1,1,False
3,fgm,tabnet,3,3,3,False
4,fgm,tabnet,3,3,1,True
5,fgm,tabnet,3,3,3,False
6,fgm,tabnet,1,1,1,False
7,fgm,tabnet,3,3,1,True
8,fgm,tabnet,0,0,0,False
9,fgm,tabnet,1,1,1,False
10,fgm,tabnet,2,2,2,False
11,fgm,tabnet,3,3,3,False
12,fgm,tabnet,1,1,1,False
13,fgm,tabnet,0,0,0,False
14,fgm,tabnet,0,0,0,False
15,fgm,tabnet,1,1,1,False
16,fgm,tabnet,0,0,0,False
17,fgm,tabnet,1,1,1,False
18,fgm,tabnet,1,1,1,False
19,fgm,tabnet,2,2,2,False
20,fgm,tabnet,1,1,1,False
21,fgm,tabnet,1,1,1,False
22,fgm,tabnet,0,0,0,False
23,fgm,tabnet,1,1,1,False
24,fgm,tabnet,3,3,3,False
25,fgm,tabnet,0,0,0,False
26,fgm,tabnet,3,3,3,False
27,fgm,tabnet,1,1,1,False
28,fgm,tabnet,0,0,0,False
29,fgm,tabnet,0,0,0,False
30,fgm,tabnet,2,2,2,False
31,fgm,tabnet,3,3,3,False
32,fgm,tabnet,1,1,2,True
33,fgm,tabnet,0,0,0,False
34,fgm,tabnet,1,1,1,False
35,fgm,tabnet,1,1,1,False
36,fgm,tabnet,1,1,1,False
37,fgm,tabnet,1,1,1,False
38,fgm,tabnet,1,1,1,False
39,fgm,tabnet,0,0,0,False
40,fgm,tabnet,1,1,1,False
41,fgm,tabnet,1,1,1,False
42,fgm,tabnet,0,0,0,False
43,fgm,tabnet,0,0,0,False
44,fgm,tabnet,0,0,0,False
45,fgm,tabnet,1,1,1,False
46,fgm,tabnet,1,1,1,False
47,fgm,tabnet,0,0,0,False
48,fgm,tabnet,2,2,2,False
49,fgm,tabnet,1,1,1,False
50,fgm,tabnet,0,0,0,False
51,fgm,tabnet,3,3,3,False
52,fgm,tabnet,1,1,1,False
53,fgm,tabnet,0,0,0,False
54,fgm,tabnet,3,3,1,True
55,fgm,tabnet,1,1,1,False
56,fgm,tabnet,1,1,1,False
57,fgm,tabnet,0,0,0,False
58,fgm,tabnet,3,3,3,False
59,fgm,tabnet,0,0,0,False
60,fgm,tabnet,1,1,1,False
61,fgm,tabnet,1,1,1,False
62,fgm,tabnet,0,0,0,False
63,fgm,tabnet,3,3,3,False
64,fgm,tabnet,0,0,0,False
65,fgm,tabnet,0,0,0,False
66,fgm,tabnet,3,3,3,False
67,fgm,tabnet,1,1,1,False
68,fgm,tabnet,1,1,1,False
69,fgm,tabnet,1,1,1,False
70,fgm,tabnet,3,3,3,False
71,fgm,tabnet,1,1,1,False
72,fgm,tabnet,0,0,0,False
73,fgm,tabnet,0,0,0,False
74,fgm,tabnet,0,0,0,False
75,fgm,tabnet,1,1,1,False
76,fgm,tabnet,1,1,1,False
77,fgm,tabnet,2,2,2,False
78,fgm,tabnet,2,2,2,False
79,fgm,tabnet,0,0,0,False
80,fgm,tabnet,0,0,0,False
81,fgm,tabnet,3,3,3,False
82,fgm,tabnet,1,1,1,False
83,fgm,tabnet,1,1,1,False
84,fgm,tabnet,3,3,3,False
85,fgm,tabnet,0,0,0,False
86,fgm,tabnet,1,1,1,False
87,fgm,tabnet,0,0,0,False
88,fgm,tabnet,1,1,1,False
89,fgm,tabnet,1,1,1,False
90,fgm,tabnet,1,1,1,False
91,fgm,tabnet,2,2,2,False
92,fgm,tabnet,1,1,1,False
93,fgm,tabnet,1,1,1,False
94,fgm,tabnet,2,2,2,False
95,fgm,tabnet,0,0,0,False
96,fgm,tabnet,0,0,0,False
97,fgm,tabnet,1,1,1,False
98,fgm,tabnet,3,3,3,False
99,fgm,tabnet,1,1,1,False
100,fgm,tabnet,1,1,1,False
101,fgm,tabnet,3,3,3,False
102,fgm,tabnet,0,0,0,False
103,fgm,tabnet,2,2,2,False
104,fgm,tabnet,1,1,1,False
105,fgm,tabnet,2,2,2,False
106,fgm,tabnet,1,1,1,False
107,fgm,tabnet,0,0,0,False
108,fgm,tabnet,1,1,1,False
109,fgm,tabnet,1,1,1,False
110,fgm,tabnet,0,0,0,False
111,fgm,tabnet,1,1,1,False
112,fgm,tabnet,3,3,3,False
113,fgm,tabnet,1,1,1,False
114,fgm,tabnet,1,1,1,False
115,fgm,tabnet,0,0,0,False
116,fgm,tabnet,0,0,0,False
117,fgm,tabnet,0,0,0,False
118,fgm,tabnet,2,2,2,False
119,fgm,tabnet,1,1,1,False
120,fgm,tabnet,0,0,0,False
121,fgm,tabnet,0,0,0,False
122,fgm,tabnet,3,3,3,False
123,fgm,tabnet,3,3,3,False
124,fgm,tabnet,2,2,2,False
125,fgm,tabnet,3,3,1,True
126,fgm,tabnet,3,3,3,False
127,fgm,tabnet,1,1,1,False
128,fgm,tabnet,0,0,0,False
129,fgm,tabnet,2,2,2,False
130,fgm,tabnet,1,1,1,False
131,fgm,tabnet,3,3,3,False
132,fgm,tabnet,1,1,1,False
133,fgm,tabnet,0,0,0,False
134,fgm,tabnet,1,1,1,False
135,fgm,tabnet,1,1,1,False
136,fgm,tabnet,1,1,1,False
137,fgm,tabnet,0,0,0,False
138,fgm,tabnet,0,0,0,False
139,fgm,tabnet,3,3,3,False
140,fgm,tabnet,3,3,3,False
141,fgm,tabnet,0,0,0,False
142,fgm,tabnet,0,0,0,False
143,fgm,tabnet,0,0,0,False
144,fgm,tabnet,0,0,0,False
145,fgm,tabnet,3,3,3,False
146,fgm,tabnet,0,0,0,False
147,fgm,tabnet,1,1,1,False
148,fgm,tabnet,1,1,1,False
149,fgm,tabnet,2,2,2,False
150,fgm,tabnet,0,0,0,False
151,fgm,tabnet,1,1,1,False
152,fgm,tabnet,1,1,1,False
153,fgm,tabnet,0,0,0,False
154,fgm,tabnet,1,1,1,False
155,fgm,tabnet,0,0,0,False
156,fgm,tabnet,4,4,4,False
157,fgm,tabnet,0,0,0,False
158,fgm,tabnet,1,1,1,False
159,fgm,tabnet,3,3,3,False
160,fgm,tabnet,3,3,3,False
161,fgm,tabnet,3,3,3,False
162,fgm,tabnet,1,1,1,False
163,fgm,tabnet,3,3,3,False
164,fgm,tabnet,0,0,0,False
165,fgm,tabnet,0,0,0,False
166,fgm,tabnet,1,1,1,False
167,fgm,tabnet,3,3,3,False
168,fgm,tabnet,0,0,0,False
169,fgm,tabnet,0,0,0,False
170,fgm,tabnet,0,0,0,False
171,fgm,tabnet,0,0,0,False
172,fgm,tabnet,1,1,1,False
173,fgm,tabnet,1,1,1,False
174,fgm,tabnet,1,1,1,False
175,fgm,tabnet,2,2,2,False
176,fgm,tabnet,0,0,0,False
177,fgm,tabnet,3,3,1,True
178,fgm,tabnet,1,1,1,False
179,fgm,tabnet,1,1,1,False
180,fgm,tabnet,1,1,1,False
181,fgm,tabnet,2,2,2,False
182,fgm,tabnet,0,0,0,False
183,fgm,tabnet,0,0,0,False
184,fgm,tabnet,2,2,2,False
185,fgm,tabnet,0,0,0,False
186,fgm,tabnet,0,0,0,False
187,fgm,tabnet,0,0,0,False
188,fgm,tabnet,1,1,1,False
189,fgm,tabnet,1,1,1,False
190,fgm,tabnet,1,1,1,False
191,fgm,tabnet,0,0,0,False
192,fgm,tabnet,0,0,0,False
193,fgm,tabnet,1,1,1,False
194,fgm,tabnet,0,0,0,False
195,fgm,tabnet,1,1,1,False
196,fgm,tabnet,1,1,1,False
197,fgm,tabnet,3,3,1,True
198,fgm,tabnet,0,0,0,False
199,fgm,tabnet,0,0,0,False
200,fgm,tabnet,3,3,3,False
201,fgm,tabnet,0,0,0,False
202,fgm,tabnet,0,0,0,False
203,fgm,tabnet,0,0,0,False
204,fgm,tabnet,1,1,1,False
205,fgm,tabnet,0,0,0,False
206,fgm,tabnet,1,1,1,False
207,fgm,tabnet,2,2,2,False
208,fgm,tabnet,0,0,0,False
209,fgm,tabnet,1,1,1,False
210,fgm,tabnet,3,3,3,False
211,fgm,tabnet,0,0,0,False
212,fgm,tabnet,1,1,1,False
213,fgm,tabnet,1,1,1,False
214,fgm,tabnet,0,0,0,False
215,fgm,tabnet,0,0,0,False
216,fgm,tabnet,3,3,3,False
217,fgm,tabnet,1,1,1,False
218,fgm,tabnet,1,1,1,False
219,fgm,tabnet,1,1,1,False
220,fgm,tabnet,4,4,2,True
221,fgm,tabnet,1,1,1,False
222,fgm,tabnet,0,0,0,False
223,fgm,tabnet,0,0,0,False
224,fgm,tabnet,1,1,1,False
225,fgm,tabnet,3,3,3,False
226,fgm,tabnet,0,0,0,False
227,fgm,tabnet,1,1,1,False
228,fgm,tabnet,3,3,3,False
229,fgm,tabnet,3,3,3,False
230,fgm,tabnet,1,1,1,False
231,fgm,tabnet,0,0,0,False
232,fgm,tabnet,1,1,1,False
233,fgm,tabnet,3,1,1,True
234,fgm,tabnet,0,0,0,False
235,fgm,tabnet,1,1,1,False
236,fgm,tabnet,1,1,1,False
237,fgm,tabnet,3,3,3,False
238,fgm,tabnet,0,0,0,False
239,fgm,tabnet,1,1,1,False
240,fgm,tabnet,1,1,1,False
241,fgm,tabnet,3,3,3,False
242,fgm,tabnet,1,1,1,False
243,fgm,tabnet,2,2,2,False
244,fgm,tabnet,0,0,1,True
245,fgm,tabnet,0,0,0,False
246,fgm,tabnet,0,0,0,False
247,fgm,tabnet,2,2,2,False
248,fgm,tabnet,1,1,1,False
249,fgm,tabnet,1,1,1,False
250,fgm,tabnet,1,1,1,False
251,fgm,tabnet,3,3,3,False
252,fgm,tabnet,0,0,0,False
253,fgm,tabnet,1,1,1,False
254,fgm,tabnet,0,0,0,False
255,fgm,tabnet,0,0,0,False
256,fgm,tabnet,0,0,0,False
257,fgm,tabnet,1,1,1,False
258,fgm,tabnet,3,3,3,False
259,fgm,tabnet,0,0,0,False
260,fgm,tabnet,1,1,1,False
261,fgm,tabnet,0,0,0,False
262,fgm,tabnet,0,0,0,False
263,fgm,tabnet,0,0,0,False
264,fgm,tabnet,2,2,2,False
265,fgm,tabnet,1,1,1,False
266,fgm,tabnet,0,0,0,False
267,fgm,tabnet,0,0,0,False
268,fgm,tabnet,0,0,0,False
269,fgm,tabnet,1,1,1,False
270,fgm,tabnet,1,1,1,False
271,fgm,tabnet,1,1,1,False
272,fgm,tabnet,1,1,1,False
273,fgm,tabnet,1,1,0,True
274,fgm,tabnet,1,1,1,False
275,fgm,tabnet,0,0,0,False
276,fgm,tabnet,0,0,0,False
277,fgm,tabnet,0,0,0,False
278,fgm,tabnet,1,1,1,False
279,fgm,tabnet,1,1,1,False
280,fgm,tabnet,3,3,1,True
281,fgm,tabnet,1,1,1,False
282,fgm,tabnet,0,0,0,False
283,fgm,tabnet,0,0,0,False
284,fgm,tabnet,1,2,2,True
285,fgm,tabnet,4,1,3,True
286,fgm,tabnet,1,1,1,False
287,fgm,tabnet,1,1,1,False
288,fgm,tabnet,0,0,0,False
289,fgm,tabnet,1,1,1,False
290,fgm,tabnet,0,0,0,False
291,fgm,tabnet,0,0,0,False
292,fgm,tabnet,0,0,0,False
293,fgm,tabnet,1,1,1,False
294,fgm,tabnet,1,1,1,False
295,fgm,tabnet,0,0,0,False
296,fgm,tabnet,1,1,1,False
297,fgm,tabnet,0,0,0,False
298,fgm,tabnet,1,1,1,False
299,fgm,tabnet,1,1,1,False
300,fgm,tabnet,1,1,1,False
301,fgm,tabnet,1,1,1,False
302,fgm,tabnet,2,2,2,False
303,fgm,tabnet,0,0,0,False
304,fgm,tabnet,0,0,0,False
305,fgm,tabnet,1,1,1,False
306,fgm,tabnet,1,3,3,True
307,fgm,tabnet,1,1,1,False
308,fgm,tabnet,0,0,0,False
309,fgm,tabnet,3,3,3,False
310,fgm,tabnet,0,0,0,False
311,fgm,tabnet,1,1,1,False
312,fgm,tabnet,1,1,1,False
313,fgm,tabnet,1,1,1,False
314,fgm,tabnet,0,0,0,False
315,fgm,tabnet,1,1,1,False
316,fgm,tabnet,0,0,0,False
317,fgm,tabnet,4,4,4,False
318,fgm,tabnet,2,2,2,False
319,fgm,tabnet,3,3,3,False
320,fgm,tabnet,0,0,0,False
321,fgm,tabnet,0,0,0,False
322,fgm,tabnet,3,3,1,True
323,fgm,tabnet,1,1,1,False
324,fgm,tabnet,1,1,1,False
325,fgm,tabnet,1,1,1,False
326,fgm,tabnet,2,2,2,False
327,fgm,tabnet,1,1,1,False
328,fgm,tabnet,0,1,3,True
329,fgm,tabnet,1,1,1,False
330,fgm,tabnet,1,1,1,False
331,fgm,tabnet,1,1,1,False
332,fgm,tabnet,1,1,1,False
333,fgm,tabnet,0,0,0,False
334,fgm,tabnet,1,1,1,False
335,fgm,tabnet,1,1,1,False
336,fgm,tabnet,0,0,0,False
337,fgm,tabnet,0,0,0,False
338,fgm,tabnet,0,0,0,False
339,fgm,tabnet,1,1,1,False
340,fgm,tabnet,1,1,1,False
341,fgm,tabnet,0,0,0,False
342,fgm,tabnet,0,0,0,False
343,fgm,tabnet,3,3,3,False
344,fgm,tabnet,0,0,0,False
345,fgm,tabnet,0,0,0,False
346,fgm,tabnet,3,3,3,False
347,fgm,tabnet,2,2,2,False
348,fgm,tabnet,0,0,0,False
349,fgm,tabnet,1,1,1,False
350,fgm,tabnet,1,1,1,False
351,fgm,tabnet,0,0,0,False
352,fgm,tabnet,3,3,1,True
353,fgm,tabnet,0,0,0,False
354,fgm,tabnet,1,1,1,False
355,fgm,tabnet,0,0,0,False
356,fgm,tabnet,1,1,1,False
