sample_id,attack_name,target_model,label_true,pred_clean_target,pred_adv_target,is_transfer_success
0,fgm,xgb,0,0,0,False
1,fgm,xgb,0,0,0,False
2,fgm,xgb,1,1,0,True
3,fgm,xgb,3,3,1,True
4,fgm,xgb,3,3,1,True
5,fgm,xgb,3,3,1,True
6,fgm,xgb,1,1,1,False
7,fgm,xgb,3,3,1,True
8,fgm,xgb,0,0,0,False
9,fgm,xgb,1,1,1,False
10,fgm,xgb,2,2,1,True
11,fgm,xgb,3,3,1,True
12,fgm,xgb,1,1,1,False
13,fgm,xgb,0,0,0,False
14,fgm,xgb,0,0,0,False
15,fgm,xgb,1,1,1,False
16,fgm,xgb,0,0,0,False
17,fgm,xgb,1,1,1,False
18,fgm,xgb,1,1,0,True
19,fgm,xgb,2,2,0,True
20,fgm,xgb,1,1,1,False
21,fgm,xgb,1,1,0,True
22,fgm,xgb,0,0,0,False
23,fgm,xgb,1,1,1,False
24,fgm,xgb,3,3,1,True
25,fgm,xgb,0,0,0,False
26,fgm,xgb,3,3,1,True
27,fgm,xgb,1,1,1,False
28,fgm,xgb,0,0,0,False
29,fgm,xgb,0,0,0,False
30,fgm,xgb,2,2,2,False
31,fgm,xgb,3,3,1,True
32,fgm,xgb,1,1,3,True
33,fgm,xgb,0,0,1,True
34,fgm,xgb,1,1,0,True
35,fgm,xgb,1,1,1,False
36,fgm,xgb,1,1,1,False
37,fgm,xgb,1,1,1,False
38,fgm,xgb,1,1,1,False
39,fgm,xgb,0,0,0,False
40,fgm,xgb,1,1,1,False
41,fgm,xgb,1,1,1,False
42,fgm,xgb,0,0,0,False
43,fgm,xgb,0,0,0,False
44,fgm,xgb,0,0,0,False
45,fgm,xgb,1,1,1,False
46,fgm,xgb,1,1,0,True
47,fgm,xgb,0,0,1,True
48,fgm,xgb,2,2,1,True
49,fgm,xgb,1,1,1,False
50,fgm,xgb,0,0,1,True
51,fgm,xgb,3,3,1,True
52,fgm,xgb,1,1,1,False
53,fgm,xgb,0,0,0,False
54,fgm,xgb,3,3,1,True
55,fgm,xgb,1,1,1,False
56,fgm,xgb,1,1,1,False
57,fgm,xgb,0,0,0,False
58,fgm,xgb,3,3,1,True
59,fgm,xgb,0,0,0,False
60,fgm,xgb,1,1,1,False
61,fgm,xgb,1,1,1,False
62,fgm,xgb,0,0,0,False
63,fgm,xgb,3,1,1,True
64,fgm,xgb,0,0,0,False
65,fgm,xgb,0,0,0,False
66,fgm,xgb,3,3,1,True
67,fgm,xgb,1,1,1,False
68,fgm,xgb,1,1,0,True
69,fgm,xgb,1,1,1,False
70,fgm,xgb,3,3,0,True
71,fgm,xgb,1,1,0,True
72,fgm,xgb,0,0,0,False
73,fgm,xgb,0,0,1,True
74,fgm,xgb,0,0,0,False
75,fgm,xgb,1,1,1,False
76,fgm,xgb,1,1,0,True
77,fgm,xgb,2,2,2,False
78,fgm,xgb,2,2,2,False
79,fgm,xgb,0,0,0,False
80,fgm,xgb,0,0,0,False
81,fgm,xgb,3,3,1,True
82,fgm,xgb,1,1,1,False
83,fgm,xgb,1,1,1,False
84,fgm,xgb,3,3,1,True
85,fgm,xgb,0,0,0,False
86,fgm,xgb,1,1,0,True
87,fgm,xgb,0,0,0,False
88,fgm,xgb,1,1,0,True
89,fgm,xgb,1,1,1,False
90,fgm,xgb,1,1,1,False
91,fgm,xgb,2,2,1,True
92,fgm,xgb,1,1,0,True
93,fgm,xgb,1,1,1,False
94,fgm,xgb,2,2,1,True
95,fgm,xgb,0,0,0,False
96,fgm,xgb,0,0,0,False
97,fgm,xgb,1,1,1,False
98,fgm,xgb,3,3,1,True
99,fgm,xgb,1,1,1,False
100,fgm,xgb,1,1,1,False
101,fgm,xgb,3,3,3,False
102,fgm,xgb,0,0,1,True
103,fgm,xgb,2,2,1,True
104,fgm,xgb,1,1,1,False
105,fgm,xgb,2,2,2,False
106,fgm,xgb,1,1,1,False
107,fgm,xgb,0,1,1,True
108,fgm,xgb,1,1,1,False
109,fgm,xgb,1,1,0,True
110,fgm,xgb,0,0,0,False
111,fgm,xgb,1,1,0,True
112,fgm,xgb,3,3,1,True
113,fgm,xgb,1,1,0,True
114,fgm,xgb,1,1,0,True
115,fgm,xgb,0,0,0,False
116,fgm,xgb,0,0,0,False
117,fgm,xgb,0,0,0,False
118,fgm,xgb,2,2,0,True
119,fgm,xgb,1,1,1,False
120,fgm,xgb,0,0,0,False
121,fgm,xgb,0,0,0,False
122,fgm,xgb,3,3,1,True
123,fgm,xgb,3,3,1,True
124,fgm,xgb,2,2,2,False
125,fgm,xgb,3,1,1,True
126,fgm,xgb,3,3,4,True
127,fgm,xgb,1,1,1,False
128,fgm,xgb,0,0,0,False
129,fgm,xgb,2,2,2,False
130,fgm,xgb,1,1,1,False
131,fgm,xgb,3,3,1,True
132,fgm,xgb,1,1,0,True
133,fgm,xgb,0,0,0,False
134,fgm,xgb,1,1,1,False
135,fgm,xgb,1,1,1,False
136,fgm,xgb,1,1,1,False
137,fgm,xgb,0,0,1,True
138,fgm,xgb,0,0,0,False
139,fgm,xgb,3,3,1,True
140,fgm,xgb,3,3,0,True
141,fgm,xgb,0,0,0,False
142,fgm,xgb,0,0,0,False
143,fgm,xgb,0,0,0,False
144,fgm,xgb,0,0,0,False
145,fgm,xgb,3,3,1,True
146,fgm,xgb,0,0,0,False
147,fgm,xgb,1,1,0,True
148,fgm,xgb,1,1,1,False
149,fgm,xgb,2,2,0,True
150,fgm,xgb,0,0,0,False
151,fgm,xgb,1,1,1,False
152,fgm,xgb,1,1,1,False
153,fgm,xgb,0,0,0,False
154,fgm,xgb,1,1,0,True
155,fgm,xgb,0,0,0,False
156,fgm,xgb,4,2,1,True
157,fgm,xgb,0,0,0,False
158,fgm,xgb,1,1,1,False
159,fgm,xgb,3,3,1,True
160,fgm,xgb,3,3,1,True
161,fgm,xgb,3,3,1,True
162,fgm,xgb,1,1,0,True
163,fgm,xgb,3,3,1,True
164,fgm,xgb,0,0,0,False
165,fgm,xgb,0,0,0,False
166,fgm,xgb,1,1,0,True
167,fgm,xgb,3,3,1,True
168,fgm,xgb,0,0,0,False
169,fgm,xgb,0,0,0,False
170,fgm,xgb,0,0,0,False
171,fgm,xgb,0,0,1,True
172,fgm,xgb,1,1,1,False
173,fgm,xgb,1,1,1,False
174,fgm,xgb,1,1,1,False
175,fgm,xgb,2,2,1,True
176,fgm,xgb,0,0,0,False
177,fgm,xgb,3,1,1,True
178,fgm,xgb,1,1,3,True
