sample_id,attack_name,target_model,label_true,pred_clean_target,pred_adv_target,is_transfer_success
0,pgd,gbdt,0,0,1,True
1,pgd,gbdt,0,0,0,False
2,pgd,gbdt,1,1,0,True
3,pgd,gbdt,3,3,3,False
4,pgd,gbdt,3,3,0,True
5,pgd,gbdt,3,3,0,True
6,pgd,gbdt,1,1,1,False
7,pgd,gbdt,3,3,0,True
8,pgd,gbdt,0,0,0,False
9,pgd,gbdt,1,1,3,True
10,pgd,gbdt,2,2,1,True
11,pgd,gbdt,3,3,0,True
12,pgd,gbdt,1,1,1,False
13,pgd,gbdt,0,0,1,True
14,pgd,gbdt,0,0,1,True
15,pgd,gbdt,1,1,1,False
16,pgd,gbdt,0,0,0,False
17,pgd,gbdt,1,1,1,False
18,pgd,gbdt,1,1,1,False
19,pgd,gbdt,2,2,3,True
20,pgd,gbdt,1,1,1,False
21,pgd,gbdt,1,1,1,False
22,pgd,gbdt,0,0,1,True
23,pgd,gbdt,1,1,3,True
24,pgd,gbdt,3,3,1,True
25,pgd,gbdt,0,0,0,False
26,pgd,gbdt,3,3,3,False
27,pgd,gbdt,1,1,1,False
28,pgd,gbdt,0,0,1,True
29,pgd,gbdt,0,0,0,False
30,pgd,gbdt,2,2,2,False
31,pgd,gbdt,3,3,0,True
32,pgd,gbdt,1,1,0,True
33,pgd,gbdt,0,0,1,True
34,pgd,gbdt,1,1,0,True
35,pgd,gbdt,1,1,1,False
36,pgd,gbdt,1,1,1,False
37,pgd,gbdt,1,1,1,False
38,pgd,gbdt,1,1,1,False
39,pgd,gbdt,0,0,1,True
40,pgd,gbdt,1,1,1,False
41,pgd,gbdt,1,1,1,False
42,pgd,gbdt,0,0,0,False
43,pgd,gbdt,0,0,1,True
44,pgd,gbdt,0,0,0,False
45,pgd,gbdt,1,1,1,False
46,pgd,gbdt,1,1,0,True
47,pgd,gbdt,0,0,0,False
48,pgd,gbdt,2,2,1,True
49,pgd,gbdt,1,1,1,False
50,pgd,gbdt,0,0,0,False
51,pgd,gbdt,3,3,0,True
52,pgd,gbdt,1,1,1,False
53,pgd,gbdt,0,0,1,True
54,pgd,gbdt,3,3,0,True
55,pgd,gbdt,1,1,1,False
56,pgd,gbdt,1,1,1,False
57,pgd,gbdt,0,0,1,True
58,pgd,gbdt,3,3,0,True
59,pgd,gbdt,0,0,1,True
60,pgd,gbdt,1,1,3,True
61,pgd,gbdt,1,1,1,False
62,pgd,gbdt,0,0,1,True
63,pgd,gbdt,3,1,3,False
64,pgd,gbdt,0,0,1,True
65,pgd,gbdt,0,0,1,True
66,pgd,gbdt,3,3,0,True
67,pgd,gbdt,1,1,1,False
68,pgd,gbdt,1,1,0,True
69,pgd,gbdt,1,1,1,False
70,pgd,gbdt,3,3,4,True
71,pgd,gbdt,1,1,1,False
72,pgd,gbdt,0,0,1,True
73,pgd,gbdt,0,0,1,True
74,pgd,gbdt,0,0,1,True
75,pgd,gbdt,1,1,1,False
76,pgd,gbdt,1,1,1,False
77,pgd,gbdt,2,2,1,True
