sample_id,attack_name,target_model,label_true,pred_clean_target,pred_adv_target,is_transfer_success
0,pgd,tabnet,0,0,0,False
1,pgd,tabnet,0,0,0,False
2,pgd,tabnet,1,1,0,True
3,pgd,tabnet,3,3,3,False
4,pgd,tabnet,3,3,1,True
5,pgd,tabnet,3,3,1,True
6,pgd,tabnet,1,3,3,True
7,pgd,tabnet,3,3,1,True
8,pgd,tabnet,0,0,0,False
9,pgd,tabnet,1,1,1,False
10,pgd,tabnet,2,2,2,False
11,pgd,tabnet,3,3,3,False
12,pgd,tabnet,1,1,1,False
13,pgd,tabnet,0,0,0,False
14,pgd,tabnet,0,0,0,False
15,pgd,tabnet,1,1,1,False
16,pgd,tabnet,0,0,0,False
17,pgd,tabnet,1,1,1,False
18,pgd,tabnet,1,1,3,True
19,pgd,tabnet,2,2,2,False
20,pgd,tabnet,1,1,0,True
21,pgd,tabnet,1,1,3,True
22,pgd,tabnet,0,0,0,False
23,pgd,tabnet,1,1,1,False
24,pgd,tabnet,3,3,1,True
25,pgd,tabnet,0,0,0,False
26,pgd,tabnet,3,3,3,False
27,pgd,tabnet,1,1,1,False
28,pgd,tabnet,0,0,0,False
29,pgd,tabnet,0,0,0,False
30,pgd,tabnet,2,2,2,False
31,pgd,tabnet,3,3,1,True
32,pgd,tabnet,1,2,2,True
33,pgd,tabnet,0,0,0,False
34,pgd,tabnet,1,1,0,True
35,pgd,tabnet,1,1,1,False
36,pgd,tabnet,1,1,3,True
37,pgd,tabnet,1,1,1,False
38,pgd,tabnet,1,1,1,False
39,pgd,tabnet,0,0,0,False
40,pgd,tabnet,1,1,1,False
41,pgd,tabnet,1,1,1,False
42,pgd,tabnet,0,0,0,False
43,pgd,tabnet,0,0,0,False
44,pgd,tabnet,0,0,0,False
45,pgd,tabnet,1,1,1,False
46,pgd,tabnet,1,1,0,True
47,pgd,tabnet,0,0,0,False
48,pgd,tabnet,2,2,2,False
49,pgd,tabnet,1,1,1,False
50,pgd,tabnet,0,0,0,False
51,pgd,tabnet,3,3,1,True
52,pgd,tabnet,1,1,1,False
53,pgd,tabnet,0,0,0,False
54,pgd,tabnet,3,3,1,True
55,pgd,tabnet,1,1,3,True
56,pgd,tabnet,1,1,1,False
57,pgd,tabnet,0,0,0,False
58,pgd,tabnet,3,3,1,True
59,pgd,tabnet,0,0,0,False
60,pgd,tabnet,1,1,1,False
61,pgd,tabnet,1,1,0,True
62,pgd,tabnet,0,0,0,False
63,pgd,tabnet,3,1,1,True
64,pgd,tabnet,0,0,0,False
65,pgd,tabnet,0,0,0,False
66,pgd,tabnet,3,3,3,False
67,pgd,tabnet,1,1,1,False
68,pgd,tabnet,1,1,0,True
69,pgd,tabnet,1,1,3,True
70,pgd,tabnet,3,3,3,False
71,pgd,tabnet,1,1,3,True
72,pgd,tabnet,0,0,0,False
73,pgd,tabnet,0,0,0,False
74,pgd,tabnet,0,0,0,False
75,pgd,tabnet,1,1,1,False
76,pgd,tabnet,1,1,0,True
77,pgd,tabnet,2,2,2,False
78,pgd,tabnet,2,2,2,False
79,pgd,tabnet,0,0,0,False
80,pgd,tabnet,0,0,0,False
81,pgd,tabnet,3,3,1,True
82,pgd,tabnet,1,1,1,False
83,pgd,tabnet,1,1,1,False
84,pgd,tabnet,3,3,1,True
85,pgd,tabnet,0,0,0,False
86,pgd,tabnet,1,1,0,True
87,pgd,tabnet,0,0,0,False
88,pgd,tabnet,1,1,1,False
89,pgd,tabnet,1,1,3,True
90,pgd,tabnet,1,1,1,False
91,pgd,tabnet,2,2,2,False
92,pgd,tabnet,1,0,0,True
93,pgd,tabnet,1,1,3,True
94,pgd,tabnet,2,2,1,True
95,pgd,tabnet,0,0,0,False
96,pgd,tabnet,0,0,0,False
