sample_id,attack_name,target_model,label_true,pred_clean_target,pred_adv_target,is_transfer_success
0,pgd,xgb,0,0,0,False
1,pgd,xgb,0,0,0,False
2,pgd,xgb,1,1,0,True
3,pgd,xgb,3,3,1,True
4,pgd,xgb,3,3,1,True
5,pgd,xgb,3,3,1,True
6,pgd,xgb,1,1,0,True
7,pgd,xgb,3,3,1,True
8,pgd,xgb,0,0,0,False
9,pgd,xgb,1,1,1,False
10,pgd,xgb,2,2,1,True
11,pgd,xgb,3,3,1,True
12,pgd,xgb,1,1,1,False
13,pgd,xgb,0,0,0,False
14,pgd,xgb,0,0,0,False
15,pgd,xgb,1,1,1,False
16,pgd,xgb,0,0,0,False
17,pgd,xgb,1,1,1,False
18,pgd,xgb,1,1,1,False
19,pgd,xgb,2,2,0,True
20,pgd,xgb,1,1,0,True
21,pgd,xgb,1,1,1,False
22,pgd,xgb,0,0,0,False
23,pgd,xgb,1,1,1,False
24,pgd,xgb,3,3,1,True
25,pgd,xgb,0,0,0,False
26,pgd,xgb,3,3,1,True
27,pgd,xgb,1,1,1,False
28,pgd,xgb,0,0,0,False
29,pgd,xgb,0,0,0,False
30,pgd,xgb,2,2,2,False
31,pgd,xgb,3,3,1,True
32,pgd,xgb,1,1,3,True
33,pgd,xgb,0,0,1,True
34,pgd,xgb,1,1,0,True
35,pgd,xgb,1,1,1,False
36,pgd,xgb,1,1,0,True
37,pgd,xgb,1,1,1,False
38,pgd,xgb,1,1,1,False
39,pgd,xgb,0,0,0,False
40,pgd,xgb,1,1,1,False
41,pgd,xgb,1,1,0,True
42,pgd,xgb,0,0,0,False
43,pgd,xgb,0,0,0,False
44,pgd,xgb,0,0,0,False
45,pgd,xgb,1,1,1,False
46,pgd,xgb,1,1,0,True
47,pgd,xgb,0,0,1,True
48,pgd,xgb,2,2,1,True
49,pgd,xgb,1,1,1,False
50,pgd,xgb,0,0,1,True
51,pgd,xgb,3,3,1,True
52,pgd,xgb,1,1,1,False
53,pgd,xgb,0,0,0,False
54,pgd,xgb,3,3,1,True
55,pgd,xgb,1,1,1,False
56,pgd,xgb,1,1,1,False
57,pgd,xgb,0,0,0,False
58,pgd,xgb,3,3,1,True
59,pgd,xgb,0,0,0,False
60,pgd,xgb,1,1,1,False
61,pgd,xgb,1,1,0,True
62,pgd,xgb,0,0,0,False
63,pgd,xgb,3,1,1,True
64,pgd,xgb,0,0,0,False
65,pgd,xgb,0,0,0,False
66,pgd,xgb,3,3,1,True
67,pgd,xgb,1,1,1,False
68,pgd,xgb,1,1,0,True
69,pgd,xgb,1,1,0,True
70,pgd,xgb,3,3,1,True
71,pgd,xgb,1,1,1,False
72,pgd,xgb,0,0,0,False
73,pgd,xgb,0,0,1,True
74,pgd,xgb,0,0,0,False
75,pgd,xgb,1,1,1,False
76,pgd,xgb,1,1,0,True
77,pgd,xgb,2,2,1,True
78,pgd,xgb,2,2,2,False
79,pgd,xgb,0,0,0,False
80,pgd,xgb,0,0,0,False
81,pgd,xgb,3,3,3,False
82,pgd,xgb,1,1,1,False
83,pgd,xgb,1,1,1,False
84,pgd,xgb,3,3,1,True
85,pgd,xgb,0,0,0,False
86,pgd,xgb,1,1,0,True
87,pgd,xgb,0,0,0,False
88,pgd,xgb,1,1,1,False
89,pgd,xgb,1,1,0,True
90,pgd,xgb,1,1,1,False
91,pgd,xgb,2,2,1,True
92,pgd,xgb,1,1,0,True
93,pgd,xgb,1,1,1,False
94,pgd,xgb,2,2,2,False
95,pgd,xgb,0,0,0,False
96,pgd,xgb,0,0,0,False
97,pgd,xgb,1,1,1,False
98,pgd,xgb,3,3,0,True
99,pgd,xgb,1,1,1,False
100,pgd,xgb,1,1,1,False
101,pgd,xgb,3,3,1,True
102,pgd,xgb,0,0,1,True
103,pgd,xgb,2,2,0,True
104,pgd,xgb,1,1,1,False
105,pgd,xgb,2,2,2,False
106,pgd,xgb,1,1,1,False
107,pgd,xgb,0,1,1,True
108,pgd,xgb,1,1,1,False
109,pgd,xgb,1,1,0,True
110,pgd,xgb,0,0,0,False
111,pgd,xgb,1,1,1,False
112,pgd,xgb,3,3,1,True
113,pgd,xgb,1,1,1,False
114,pgd,xgb,1,1,0,True
115,pgd,xgb,0,0,0,False
116,pgd,xgb,0,0,0,False
117,pgd,xgb,0,0,0,False
118,pgd,xgb,2,2,0,True
119,pgd,xgb,1,1,1,False
120,pgd,xgb,0,0,0,False
121,pgd,xgb,0,0,0,False
122,pgd,xgb,3,3,1,True
123,pgd,xgb,3,3,1,True
124,pgd,xgb,2,2,2,False
125,pgd,xgb,3,1,1,True
126,pgd,xgb,3,3,1,True
127,pgd,xgb,1,1,1,False
