sample_id,attack_name,target_model,label_true,pred_clean_target,pred_adv_target,is_transfer_success
0,slide,xgb,0,0,0,False
1,slide,xgb,0,0,0,False
2,slide,xgb,1,1,0,True
3,slide,xgb,3,3,1,True
4,slide,xgb,3,3,1,True
5,slide,xgb,3,3,1,True
6,slide,xgb,1,1,0,True
7,slide,xgb,3,3,1,True
8,slide,xgb,0,0,0,False
9,slide,xgb,1,1,1,False
10,slide,xgb,2,2,1,True
11,slide,xgb,3,3,1,True
12,slide,xgb,1,1,1,False
13,slide,xgb,0,0,0,False
14,slide,xgb,0,0,0,False
15,slide,xgb,1,1,1,False
16,slide,xgb,0,0,0,False
17,slide,xgb,1,1,1,False
18,slide,xgb,1,1,1,False
19,slide,xgb,2,2,0,True
20,slide,xgb,1,1,0,True
21,slide,xgb,1,1,1,False
22,slide,xgb,0,0,0,False
23,slide,xgb,1,1,1,False
24,slide,xgb,3,3,1,True
25,slide,xgb,0,0,0,False
26,slide,xgb,3,3,1,True
27,slide,xgb,1,1,1,False
28,slide,xgb,0,0,0,False
29,slide,xgb,0,0,0,False
30,slide,xgb,2,2,2,False
31,slide,xgb,3,3,1,True
32,slide,xgb,1,1,3,True
33,slide,xgb,0,0,1,True
34,slide,xgb,1,1,0,True
35,slide,xgb,1,1,1,False
36,slide,xgb,1,1,0,True
37,slide,xgb,1,1,1,False
38,slide,xgb,1,1,1,False
39,slide,xgb,0,0,0,False
40,slide,xgb,1,1,1,False
41,slide,xgb,1,1,0,True
42,slide,xgb,0,0,0,False
43,slide,xgb,0,0,0,False
44,slide,xgb,0,0,0,False
45,slide,xgb,1,1,1,False
46,slide,xgb,1,1,0,True
47,slide,xgb,0,0,1,True
48,slide,xgb,2,2,1,True
49,slide,xgb,1,1,1,False
50,slide,xgb,0,0,1,True
51,slide,xgb,3,3,1,True
52,slide,xgb,1,1,1,False
53,slide,xgb,0,0,0,False
54,slide,xgb,3,3,1,True
55,slide,xgb,1,1,1,False
56,slide,xgb,1,1,1,False
57,slide,xgb,0,0,0,False
58,slide,xgb,3,3,1,True
59,slide,xgb,0,0,0,False
60,slide,xgb,1,1,1,False
61,slide,xgb,1,1,0,True
62,slide,xgb,0,0,0,False
63,slide,xgb,3,1,1,True
64,slide,xgb,0,0,0,False
65,slide,xgb,0,0,0,False
66,slide,xgb,3,3,1,True
67,slide,xgb,1,1,1,False
68,slide,xgb,1,1,0,True
69,slide,xgb,1,1,0,True
70,slide,xgb,3,3,1,True
71,slide,xgb,1,1,1,False
72,slide,xgb,0,0,0,False
73,slide,xgb,0,0,1,True
74,slide,xgb,0,0,0,False
75,slide,xgb,1,1,1,False
76,slide,xgb,1,1,0,True
77,slide,xgb,2,2,1,True
78,slide,xgb,2,2,2,False
79,slide,xgb,0,0,0,False
80,slide,xgb,0,0,0,False
81,slide,xgb,3,3,3,False
82,slide,xgb,1,1,1,False
83,slide,xgb,1,1,1,False
84,slide,xgb,3,3,1,True
85,slide,xgb,0,0,0,False
86,slide,xgb,1,1,0,True
87,slide,xgb,0,0,0,False
88,slide,xgb,1,1,1,False
89,slide,xgb,1,1,0,True
90,slide,xgb,1,1,1,False
91,slide,xgb,2,2,1,True
92,slide,xgb,1,1,0,True
93,slide,xgb,1,1,1,False
94,slide,xgb,2,2,2,False
95,slide,xgb,0,0,0,False
96,slide,xgb,0,0,0,False
97,slide,xgb,1,1,1,False
98,slide,xgb,3,3,0,True
99,slide,xgb,1,1,1,False
100,slide,xgb,1,1,1,False
101,slide,xgb,3,3,1,True
102,slide,xgb,0,0,1,True
103,slide,xgb,2,2,0,True
104,slide,xgb,1,1,1,False
105,slide,xgb,2,2,2,False
106,slide,xgb,1,1,1,False
107,slide,xgb,0,1,1,True
108,slide,xgb,1,1,1,False
109,slide,xgb,1,1,0,True
110,slide,xgb,0,0,0,False
111,slide,xgb,1,1,1,False
112,slide,xgb,3,3,1,True
113,slide,xgb,1,1,1,False
114,slide,xgb,1,1,0,True
115,slide,xgb,0,0,0,False
116,slide,xgb,0,0,0,False
117,slide,xgb,0,0,0,False
118,slide,xgb,2,2,0,True
119,slide,xgb,1,1,1,False
120,slide,xgb,0,0,0,False
121,slide,xgb,0,0,0,False
122,slide,xgb,3,3,1,True
123,slide,xgb,3,3,1,True
124,slide,xgb,2,2,2,False
125,slide,xgb,3,1,1,True
126,slide,xgb,3,3,1,True
127,slide,xgb,1,1,1,False
128,slide,xgb,0,0,0,False
129,slide,xgb,2,2,2,False
130,slide,xgb,1,1,0,True
131,slide,xgb,3,3,1,True
132,slide,xgb,1,1,0,True
133,slide,xgb,0,0,0,False
134,slide,xgb,1,1,1,False
135,slide,xgb,1,1,1,False
136,slide,xgb,1,1,0,True
137,slide,xgb,0,0,1,True
138,slide,xgb,0,0,0,False
139,slide,xgb,3,3,1,True
140,slide,xgb,3,3,0,True
141,slide,xgb,0,0,0,False
142,slide,xgb,0,0,0,False
143,slide,xgb,0,0,0,False
144,slide,xgb,0,0,0,False
145,slide,xgb,3,3,1,True
146,slide,xgb,0,0,0,False
147,slide,xgb,1,1,1,False
148,slide,xgb,1,1,1,False
149,slide,xgb,2,2,0,True
150,slide,xgb,0,0,0,False
151,slide,xgb,1,1,3,True
152,slide,xgb,1,1,4,True
153,slide,xgb,0,0,0,False
154,slide,xgb,1,1,0,True
155,slide,xgb,0,0,0,False
156,slide,xgb,4,2,1,True
157,slide,xgb,0,0,0,False
158,slide,xgb,1,1,0,True
159,slide,xgb,3,3,1,True
160,slide,xgb,3,3,1,True
